,Date,Price,High,Low,Close,Volume,Adj Close
56,1/1/2018,52.65,59.9,52.65,59.11,657748000,59.11
57,2/1/2018,58.8,59.37,49.85,55.2,1026814000,55.2
58,3/1/2018,55.48,58.91,49.2,51.86,1042336000,51.86
59,4/1/2018,51.38,54.88,49.71,50.93,984928000,50.93
60,5/1/2018,50.81,55.91,50.39,55,740734000,55
61,6/1/2018,55.64,60.07,55.3,56.46,803684000,56.46
62,7/1/2018,55.77,64.57,55.33,61.36,835654000,61.36
63,8/1/2018,61.96,63.6,60.2,61.59,685718000,61.59
64,9/1/2018,61.13,61.39,57.58,60.35,718518000,60.35
65,10/1/2018,60.65,61.23,50.36,54.53,1130942000,54.53
66,11/1/2018,54.57,55.5,50.11,55.48,786236000,55.48
67,12/1/2018,56.61,56.75,48.88,52.25,857436000,52.25
68,1/1/2019,51.36,56.38,51.12,56.29,697168000,56.29
69,2/1/2019,56.11,57.7,54.68,56.33,652174000,56.33
70,3/1/2019,56.55,61.82,56.51,58.84,663738000,58.84
71,4/1/2019,59.38,64.85,59.15,59.95,647446000,59.95
72,5/1/2019,59.88,59.96,55.17,55.33,742726000,55.33
73,6/1/2019,53.35,56.33,51.35,54.14,712452000,54.14
74,7/1/2019,55.05,63.42,54.77,60.91,715104000,60.91
75,8/1/2019,60.88,61.81,57.14,59.53,586310000,59.53
76,9/1/2019,59.09,62.4,58.19,61.06,517072000,61.06
77,10/1/2019,61.12,64.96,58.16,62.94,603634000,62.94
78,11/1/2019,63.29,66.7,62.99,65.2,528780000,65.2
79,12/1/2019,65.13,68.35,63.85,66.97,559106000,66.97
80,1/1/2020,67.42,75.03,67.32,71.64,673594000,71.64
81,2/1/2020,73.08,76.54,63.41,66.96,830656000,66.96
82,3/1/2020,67.57,70.41,50.44,58.1,1570716000,58.1
83,4/1/2020,56.2,68.01,53.75,67.33,1124224000,67.33
84,5/1/2020,66.2,72.26,64.8,71.68,725130000,71.68
85,6/1/2020,71.29,73.79,67.58,70.9,814160000,70.9
86,7/1/2020,70.96,79.35,70.71,74.4,822998000,74.4
87,8/1/2020,74.55,82.64,73.2,81.48,614564000,81.48
88,9/1/2020,81.61,86.31,70.11,73.28,836634000,73.28
89,10/1/2020,74.18,84.07,71.66,80.81,854920000,80.81
90,11/1/2020,81.18,90.84,80.61,87.72,631912000,87.72
91,12/1/2020,88.33,92.19,84.7,87.63,608630000,87.63
92,1/1/2021,88,96.6,84.81,91.37,791662000,91.37
93,2/1/2021,92.23,107.26,92.23,101.1,678324000,101.1
94,3/1/2021,102.4,105.69,99.7,103.13,756694000,103.13
95,4/1/2021,104.61,121.57,104.57,117.68,702352000,117.68
96,5/1/2021,118.25,119.45,109.68,117.84,603480000,117.84
97,6/1/2021,118.72,123.1,116.48,122.09,544936000,122.09
98,7/1/2021,121.72,138.3,121.53,134.73,610808000,134.73
99,8/1/2021,135.12,145.97,133.32,144.7,461586000,144.7
100,9/1/2021,145,146.25,133.56,133.68,590840000,133.68
101,10/1/2021,134.45,148.65,131.05,148.05,720758000,148.05
102,11/1/2021,148.05,150.97,141.6,141.9,608378000,141.9
103,12/1/2021,144,149.1,139.32,144.85,619694000,144.85
104,1/1/2022,145.05,146.49,124.5,135.3,767206000,135.3
105,2/1/2022,137.59,151.55,124.95,135.06,928126000,135.06
106,3/1/2022,134.88,143.79,125.28,139.07,729162000,139.07
107,4/1/2022,139.5,143.71,112.74,114.11,761152000,114.11
108,5/1/2022,113.4,122.85,101.88,113.76,850450000,113.76
109,6/1/2022,114.86,119.35,105.05,108.96,770754000,108.96
110,7/1/2022,107.93,119.68,104.07,116.32,789529700,116.32
111,8/1/2022,115.3,122.43,107.8,108.22,515852700,108.22
112,9/1/2022,108.28,111.62,95.56,95.65,613278900,95.65
113,10/1/2022,96.76,104.82,91.8,94.51,681488300,94.51
114,11/1/2022,95.45,101.04,83.34,100.99,716522700,100.99
115,12/1/2022,101.02,102.25,85.94,88.23,603127800,88.23
116,1/1/2023,89.59,100.32,84.86,98.84,672897800,98.84
117,2/1/2023,98.71,108.18,88.58,90.06,952580200,90.06
118,3/1/2023,89.98,106.59,89.42,103.73,859911400,103.73
119,4/1/2023,102.39,109.17,101.93,108.87,255598400,108.87
